ROD_RS02335	1409	7	1402
ROD_RS02340	467	17	450
ROD_RS02345	319	14	305
ROD_RS02350	580	510	70
ROD_RS02355	2719	2697	22
ROD_RS02360	1879	1869	10
ROD_RS02365	196	193	3
ROD_RS02370	2253	33	2220
ROD_RS02375	326	288	38
ROD_RS02380	595	573	22
ROD_RS02385	741	28	713
ROD_RS02390	758	655	103
ROD_RS02395	123	39	84
ROD_RS02400	11	8	3
ROD_RS02405	90	41	49
ROD_RS02410	9	9	0
ROD_RS02415	47	38	9
ROD_RS02420	15	13	2
ROD_RS02425	99	13	86
ROD_RS02430	4458	4417	41
ROD_RS02435	467	465	2
ROD_RS02440	2860	2858	2
ROD_RS02445	18630	18604	26
ROD_RS02450	10738	10723	15
ROD_RS02455	892	786	106
ROD_RS02460	762	754	8
ROD_RS02465	63	1	62
ROD_RS02470	13085	17	13068
ROD_RS02475	5644	15	5629
ROD_RS02480	14286	26	14260
ROD_RS02485	10523	7	10516
ROD_RS02490	2107	4	2103
ROD_RS02495	8055	17	8038
ROD_RS02500	7	0	7
ROD_RS02505	80	33	47
ROD_RS02510	701	674	27
ROD_RS02515	358	304	54
ROD_RS02520	545	422	123
ROD_RS02525	1880	1854	26
ROD_RS02530	80	0	80
ROD_RS02535	338	10	328
ROD_RS02540	370	11	359
ROD_RS02545	4	4	0
ROD_RS02550	116	9	107
ROD_RS02555	116	59	57
ROD_RS02560	457	451	6
ROD_RS02565	1106	94	1012
ROD_RS02570	94	92	2
ROD_RS25810	15	13	2
ROD_RS02575	245	216	29
ROD_RS02580	3	3	0
ROD_RS02585	678	654	24
ROD_RS02590	672	639	33
ROD_RS02595	1016	1013	3
ROD_RS02600	653	651	2
ROD_RS02605	8767	8745	22
ROD_RS02610	3585	3555	30
ROD_RS02615	269	119	150
ROD_RS02620	1145	49	1096
ROD_RS02625	206	202	4
ROD_RS02630	1	1	0
ROD_RS02635	96	96	0
ROD_RS02640	41	41	0
ROD_RS02645	198	197	1
ROD_RS02650	303	6	297
ROD_RS02655	1083	0	1083
ROD_RS02660	2909	6	2903
ROD_RS02665	911	2	909
ROD_RS02670	2242	21	2221
ROD_RS02675	7356	25	7331
ROD_RS02680	2464	13	2451
ROD_RS02685	402	4	398
ROD_RS02690	118	52	66
ROD_RS02695	559	61	498
ROD_RS02700	406	372	34
ROD_RS02705	388	369	19
ROD_RS02710	673	45	628
ROD_RS02715	366	286	80
ROD_RS02720	950	930	20
ROD_RS02725	902	884	18
ROD_RS02730	66	20	46
ROD_RS02735	452	295	157
ROD_RS02740	1082	1079	3
ROD_RS02745	145	14	131
ROD_RS02750	726	354	372
ROD_RS02755	2391	2369	22
ROD_RS02760	1682	1639	43
ROD_RS02765	589	552	37
ROD_RS02770	97	1	96
ROD_RS02775	297	11	286
ROD_RS02780	100	35	65
ROD_RS02785	1071	1063	8
ROD_RS02790	4269	4235	34
ROD_RS02795	1030	1020	10
ROD_RS02800	679	668	11
ROD_RS02805	1642	1634	8
ROD_RS02810	3182	20	3162
ROD_RS02815	103	45	58
ROD_RS02820	192	188	4
ROD_RS02825	2106	2095	11
ROD_RS02830	20	9	11
ROD_RS02835	66	57	9
ROD_RS02840	62	50	12
ROD_RS02845	296	148	148
ROD_RS02850	1545	1537	8
ROD_RS02855	2257	2240	17
ROD_RS02860	129	128	1
ROD_RS02865	94	87	7
ROD_RS02870	68	47	21
ROD_RS02875	21	16	5
ROD_RS02880	157	124	33
ROD_RS02885	353	14	339
ROD_RS02890	70	29	41
ROD_RS02895	9	9	0
ROD_RS02905	72	72	0
ROD_RS02910	6	1	5
ROD_RS25835	208	5	203
ROD_RS02920	70	62	8
ROD_RS02925	70	69	1
ROD_RS02930	17	14	3
ROD_RS02935	47	42	5
ROD_RS02940	12	5	7
ROD_RS02945	32	14	18
ROD_RS02950	92	36	56
ROD_RS02955	790	787	3
ROD_RS02960	6	0	6
ROD_RS02965	164	151	13
ROD_RS02970	1699	1695	4
ROD_RS02975	138855	138738	117
ROD_RS02980	6784	15	6769
ROD_RS28705	612	1	611
ROD_RS02990	32151	84	32067
ROD_RS02995	1396	730	666
ROD_RS03000	606	540	66
ROD_RS03005	983	976	7
ROD_RS03010	2703	255	2448
ROD_RS03015	3569	3031	538
ROD_RS03020	7873	28	7845
ROD_RS03025	14046	24	14022
ROD_RS03030	9708	11	9697
ROD_RS03035	4611	9	4602
ROD_RS03040	1593	3	1590
ROD_RS03045	600	104	496
ROD_RS03050	19	17	2
ROD_RS03055	26	26	0
ROD_RS03060	197	21	176
ROD_RS03065	195	194	1
ROD_RS03070	1237	1230	7
ROD_RS03075	3154	3149	5
ROD_RS03080	884	844	40
ROD_RS03085	496	487	9
ROD_RS03090	8398	14	8384
ROD_RS03095	1429	27	1402
ROD_RS03100	228	228	0
ROD_RS03105	101	100	1
ROD_RS27950	26	21	5
ROD_RS03110	134	92	42
ROD_RS03115	48	47	1
ROD_RS03120	159	154	5
ROD_RS03125	107	1	106
ROD_RS03130	287	279	8
ROD_RS03135	144	50	94
ROD_RS03140	497	460	37
ROD_RS03145	54	40	14
ROD_RS03150	14	6	8
ROD_RS03155	12	4	8
ROD_RS03160	32	27	5
ROD_RS03165	28	11	17
ROD_RS03170	0	0	0
ROD_RS03175	12	4	8
ROD_RS03180	126	0	126
ROD_RS03185	82	6	76
ROD_RS03190	422	328	94
ROD_RS03195	118	28	90
ROD_RS03200	6201	5	6196
ROD_RS03205	111	80	31
ROD_RS03210	211	1	210
ROD_RS03215	662	3	659
ROD_RS03220	43	15	28
ROD_RS03225	0	0	0
ROD_RS03230	0	0	0
ROD_RS03235	0	0	0
ROD_RS27955	41	36	5
ROD_RS03240	6955	6939	16
ROD_RS03245	154	92	62
ROD_RS03250	407	401	6
ROD_RS03255	150	141	9
ROD_RS03260	3767	3747	20
ROD_RS03265	3350	3234	116
ROD_RS03270	349	346	3
ROD_RS03275	961	941	20
ROD_RS03280	501	501	0
ROD_RS03285	369	368	1
ROD_RS03290	260	242	18
ROD_RS03295	86	37	49
ROD_RS03300	699	656	43
ROD_RS03305	1450	1446	4
ROD_RS03310	1967	1965	2
ROD_RS03315	9348	9337	11
ROD_RS03320	196	1	195
ROD_RS03325	300	120	180
ROD_RS03330	159	153	6
ROD_RS03335	79	73	6
ROD_RS03340	135	127	8
ROD_RS03345	870	861	9
ROD_RS03350	1597	1495	102
ROD_RS03355	3429	3426	3
ROD_RS03360	1008	1008	0
ROD_RS03365	2505	2501	4
ROD_RS03370	1539	1520	19
ROD_RS03375	754	11	743
ROD_RS03380	24	24	29
ROD_RS03385	452	452	455
ROD_RS03390	209	209	209
ROD_RS03395	28	28	29
ROD_RS03400	350	350	352
ROD_RS03405	103	104	105
ROD_RS03410	21	21	22
ROD_RS03415	3073	3042	31
ROD_RS03420	592	579	13
ROD_RS03425	969	960	9
ROD_RS03430	1399	1341	58
ROD_RS03435	891	822	69
ROD_RS03440	1941	37	1904
ROD_RS03445	9	9	0
